source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,rpgeo
5533256365163858432,121.889482030298,-43.00112389933304,1.2637985423652052,38.6399498,14.1393652,14.5095844,13.605916,0.903668404,777.33075
6036668657299268224,242.7811367975792,-31.690211499581213,0.613235462556151,22.4471951,9.83832169,11.067543,8.74053478,2.32700825,1541.97363
5564782181022197888,108.20567619683224,-39.762463181513965,1.818924363807574,82.1396179,15.2780237,15.8399963,14.56604,1.2739563,540.080322
173457756104623488,70.72428317278852,33.80620430524243,0.772371011885506,18.6976109,15.4744892,16.1770153,14.6446352,1.5323801,1230.34619
1782424557556181376,330.3048673011704,21.663836066914254,3.5330119177558426,25.0941353,18.0189285,19.6861897,16.794136,2.8920536,278.880402
3781006529831144576,157.55191332861529,-3.5614532380141646,1.8782958191835308,13.1634703,17.6428642,18.7856236,16.5598793,2.22574425,514.368958
963048490874057472,90.46518345823053,45.502627274107965,1.2296762891296011,16.1471138,16.8653698,17.5992069,16.025589,1.57361794,802.164246
3216028802091233664,84.72228506397262,-3.209507320377209,2.1458914252931214,16.3395576,18.2162743,19.7023315,17.0422516,2.66007996,464.81897
1083318162256895232,123.78443795167972,58.95717401148176,2.661282294691544,35.4320488,17.0292091,18.1224022,15.9967012,2.12570095,372.358887
4621074340196590336,74.53432163100221,-82.50808502676729,0.4883510627901606,11.5423927,16.386137,16.8294601,15.7830572,1.04640293,1931.87646
5896249752442080512,216.55339551912647,-53.413241146220166,0.7062396842267643,18.6016731,15.785058,16.3531151,15.0606251,1.29249001,1351.42236
4043299461049741568,269.7667524598385,-32.67866016015483,1.5757919769633877,10.72999,17.3002071,17.9933529,16.2532406,1.7401123,774.56488
2575597849102834816,27.727906584987423,12.77671222414057,4.11300420281788,31.7870216,10.1246443,10.3701754,9.70272923,0.667446136,240.248764
3049467741269074944,104.1669519636339,-10.059327593469405,1.426345001722958,73.141571,14.2304392,14.6568584,13.6453028,1.01155567,683.49646
4084375570494862336,290.2993209722492,-18.306521261904354,0.5144193650431542,15.9647636,15.1873064,15.5701427,14.6325808,0.937561989,1778.53235
3286595325218039552,65.44522817807747,6.553650467415216,2.347461254174056,50.0763779,16.0381584,16.9663563,15.0915842,1.87477207,417.234344
6759135719014917888,287.24428666265374,-30.13909112688084,0.5101845191498716,13.3360271,15.7279396,16.084507,15.195817,0.888689995,1761.81042
6058182732638827520,188.3528400700236,-59.8777939254075,1.3816506394388384,102.737846,13.8800116,14.3026581,13.2879381,1.01471996,705.029602
5252678963594477312,150.87647588765927,-63.58248518201968,0.5277126596538774,16.7970467,15.9895201,16.4153137,15.3883867,1.02692699,1776.00122
1819898387764960128,298.0179095921238,16.081441496372893,0.9360584873239672,43.457592,14.2952919,14.6577902,13.760438,0.897352219,1034.75305
5407219862671245568,152.63116000959815,-48.87670677337773,0.3104769912753971,10.4180012,15.8406811,16.1986618,15.3151455,0.883516312,2803.31885
6586235630049768960,325.6554543337848,-37.75679045809429,1.5475727098397047,39.4219284,15.8490477,16.4259605,15.1326714,1.29328918,630.795227
386169481772597760,3.324965573865303,46.163536219683074,0.6865465177920514,11.8168278,16.3920307,16.9137821,15.7020731,1.21170902,1317.83728
4537222903409537792,277.48033679432,26.236612855140383,0.5217221171001064,10.3610754,17.0146294,17.4701805,16.4031353,1.06704521,1853.22498
3875818826243758336,155.17936934740845,8.99366598034932,4.1941322993578645,34.5409737,17.8577633,19.5389137,16.6490269,2.88988686,237.317154
2272564198152013952,320.8975354575396,71.44275578494789,0.8898385976914132,42.7517738,15.028656,15.7057552,14.2221832,1.48357201,1091.24951
6076390232841761920,187.09149188147487,-53.559370289067246,9.929956456851832,10.1850052,18.2624645,18.2934723,17.2425308,1.05094147,104.878395
